Datetime,Location_ID,Location_Name,Latitude,Longitude,Hour,Day_of_Week,Month,Weather_Condition,Is_Holiday,Is_Major_Event,Traffic_Volume
2024-01-01 00:00:00,FC_Road,FC Road (Fergusson College Road),18.5236,73.8419,0,0,1,Clear,0,0,107
2024-01-01 00:00:00,JM_Road,JM Road (Jungli Maharaj Road),18.5308,73.8475,0,0,1,Clear,0,0,127
2024-01-01 00:00:00,University_Circle,University Circle,18.5528,73.8251,0,0,1,Clear,0,0,92
2024-01-01 00:00:00,Pune_Station,Pune Railway Station,18.5285,73.8742,0,0,1,Clear,0,0,142
2024-01-01 01:00:00,FC_Road,FC Road (Fergusson College Road),18.5236,73.8419,1,0,1,Clear,0,0,113
2024-01-01 01:00:00,JM_Road,JM Road (Jungli Maharaj Road),18.5308,73.8475,1,0,1,Clear,0,0,101
2024-01-01 01:00:00,University_Circle,University Circle,18.5528,73.8251,1,0,1,Clear,0,0,84
2024-01-01 01:00:00,Pune_Station,Pune Railway Station,18.5285,73.8742,1,0,1,Clear,0,0,178
2024-01-01 02:00:00,FC_Road,FC Road (Fergusson College Road),18.5236,73.8419,2,0,1,Clear,0,0,145
2024-01-01 02:00:00,JM_Road,JM Road (Jungli Maharaj Road),18.5308,73.8475,2,0,1,Clear,0,0,98
2024-01-01 02:00:00,University_Circle,University Circle,18.5528,73.8251,2,0,1,Clear,0,0,100
2024-01-01 02:00:00,Pune_Station,Pune Railway Station,18.5285,73.8742,2,0,1,Clear,0,0,125
2024-01-01 03:00:00,FC_Road,FC Road (Fergusson College Road),18.5236,73.8419,3,0,1,Rainy,0,0,103
2024-01-01 03:00:00,JM_Road,JM Road (Jungli Maharaj Road),18.5308,73.8475,3,0,1,Rainy,0,0,92
2024-01-01 03:00:00,University_Circle,University Circle,18.5528,73.8251,3,0,1,Rainy,0,0,76
2024-01-01 03:00:00,Pune_Station,Pune Railway Station,18.5285,73.8742,3,0,1,Rainy,0,0,132
2024-01-01 04:00:00,FC_Road,FC Road (Fergusson College Road),18.5236,73.8419,4,0,1,Cloudy,0,0,138
2024-01-01 04:00:00,JM_Road,JM Road (Jungli Maharaj Road),18.5308,73.8475,4,0,1,Cloudy,0,0,105
2024-01-01 04:00:00,University_Circle,University Circle,18.5528,73.8251,4,0,1,Cloudy,0,0,70
2024-01-01 04:00:00,Pune_Station,Pune Railway Station,18.5285,73.8742,4,0,1,Cloudy,0,0,121
2024-01-01 05:00:00,FC_Road,FC Road (Fergusson College Road),18.5236,73.8419,5,0,1,Clear,0,0,116
2024-01-01 05:00:00,JM_Road,JM Road (Jungli Maharaj Road),18.5308,73.8475,5,0,1,Clear,0,0,103
2024-01-01 05:00:00,University_Circle,University Circle,18.5528,73.8251,5,0,1,Clear,0,0,73
2024-01-01 05:00:00,Pune_Station,Pune Railway Station,18.5285,73.8742,5,0,1,Clear,0,0,196
2024-01-01 06:00:00,FC_Road,FC Road (Fergusson College Road),18.5236,73.8419,6,0,1,Cloudy,0,0,310
2024-01-01 06:00:00,JM_Road,JM Road (Jungli Maharaj Road),18.5308,73.8475,6,0,1,Cloudy,0,0,260
2024-01-01 06:00:00,University_Circle,University Circle,18.5528,73.8251,6,0,1,Cloudy,0,0,255
2024-01-01 06:00:00,Pune_Station,Pune Railway Station,18.5285,73.8742,6,0,1,Cloudy,0,0,437
2024-01-01 07:00:00,FC_Road,FC Road (Fergusson College Road),18.5236,73.8419,7,0,1,Rainy,0,0,254
2024-01-01 07:00:00,JM_Road,JM Road (Jungli Maharaj Road),18.5308,73.8475,7,0,1,Rainy,0,0,196
2024-01-01 07:00:00,University_Circle,University Circle,18.5528,73.8251,7,0,1,Rainy,0,0,158
2024-01-01 07:00:00,Pune_Station,Pune Railway Station,18.5285,73.8742,7,0,1,Rainy,0,0,388
2024-01-01 08:00:00,FC_Road,FC Road (Fergusson College Road),18.5236,73.8419,8,0,1,Clear,0,0,749
2024-01-01 08:00:00,JM_Road,JM Road (Jungli Maharaj Road),18.5308,73.8475,8,0,1,Clear,0,0,706
2024-01-01 08:00:00,University_Circle,University Circle,18.5528,73.8251,8,0,1,Clear,0,0,482
2024-01-01 08:00:00,Pune_Station,Pune Railway Station,18.5285,73.8742,8,0,1,Clear,0,0,936
2024-01-01 09:00:00,FC_Road,FC Road (Fergusson College Road),18.5236,73.8419,9,0,1,Clear,0,0,773
2024-01-01 09:00:00,JM_Road,JM Road (Jungli Maharaj Road),18.5308,73.8475,9,0,1,Clear,0,0,714
2024-01-01 09:00:00,University_Circle,University Circle,18.5528,73.8251,9,0,1,Clear,0,0,482
2024-01-01 09:00:00,Pune_Station,Pune Railway Station,18.5285,73.8742,9,0,1,Clear,0,0,844
2024-01-01 10:00:00,FC_Road,FC Road (Fergusson College Road),18.5236,73.8419,10,0,1,Cloudy,0,0,728
2024-01-01 10:00:00,JM_Road,JM Road (Jungli Maharaj Road),18.5308,73.8475,10,0,1,Cloudy,0,0,589
2024-01-01 10:00:00,University_Circle,University Circle,18.5528,73.8251,10,0,1,Cloudy,0,0,534
